deck_num,pretty_url,deck_name,cover_card,userid,format,main_deck,extra_deck,side_deck,ts_submit_date,submit_date,ts_edit_date,edit_date,comments,deck_excerpt,deck_description
87993,improved-exodia-deck-87993,Improved Exodia Deck,33396948,26553,Anime Decks,"[""33396948"",""44519536"",""8124921"",""70903634"",""7902349"",""98645731"",""98645731"",""98645731"",""33904024"",""33904024"",""33904024"",""33782437"",""70368879"",""76375976"",""76375976"",""76375976"",""80101899"",""80101899"",""80101899"",""89208725"",""37576645"",""37576645"",""37576645"",""30461781"",""30461781"",""30461781"",""83968380"",""83968380"",""83968380"",""77538567"",""77538567"",""77538567"",""41420027"",""41420027"",""55144522"",""55144522"",""55144522"",""79571449"",""79571449"",""79571449""]","[""24550676"",""24550676"",""24550676"",""88753594"",""88753594"",""88753594"",""97165977"",""97165977"",""97165977"",""51777272"",""51777272"",""51777272""]","[""51452091"",""51452091"",""38430673"",""76375976"",""76375976"",""49238328"",""49238328"",""50400231"",""50400231"",""95956346"",""48783998"",""48783998"",""48783998"",""95956346"",""95956346""]",1615487905,2 years ago,,,2,"An improved exodia deck, with banlisted cards. Not for everyone I guess, but it's fun when you are bored.","There's no strategy, you just draw cards until you get it, it's simple as that :)  A friendly tip, don't get your cards banished or you might not be able to summon exodia!  My settings for hosting a match so that none of those 1 turn monster decks show up: <ul>  	<li>Banlist: No Banlist</li>  	<li>Allowed Cards: OCG</li>  	<li>Master Rules: Rule 1 (Original)</li>  	<li>Turn Timer: 3 Minutes</li> </ul> Hope this deck helps you. I won 99% of the time, hope you do too :)"
87978,neo-rin-87978,Neo Rin,25793414,23649,Anime Decks,"[""84851250"",""84851250"",""84851250"",""71007216"",""71007216"",""71007216"",""20246864"",""20246864"",""20246864"",""43722862"",""43722862"",""43722862"",""70117860"",""70117860"",""70117860"",""68462976"",""68462976"",""4215636"",""4215636"",""36484016"",""83764719"",""2295440"",""24094653"",""27980138"",""73628505"",""96156729"",""96156729"",""96156729"",""28553439"",""5318639"",""57274196"",""19362568"",""19362568"",""19362568"",""24068492"",""74003290"",""50755"",""81223446"",""83555666"",""27053506""]","[""25793414"",""25793414"",""25793414"",""73667937"",""73667937"",""73667937"",""14577226"",""14577226"",""14577226""]","[""47459126"",""73001017"",""68762510"",""32271987"",""68124775"",""25373678"",""15240238"",""95750695"",""95750695"",""67045174""]",1615487905,2 years ago,1665599905,5 months ago,0,Rin's deck updated. Trying to bring the best out of her character deck whilst keeping it in the Arc-V era so no Link monsters.,"<p><img class=""aligncenter"" src=""https://vignette.wikia.nocookie.net/yugioh/images/b/b5/Rin-LOD.png/revision/latest?cb=20190911182126"" alt="""" width=""257"" loading=""lazy"" /></p><p>Airborne Magic, Rin's deck updated. Trying to bring the best out of her character deck whilst keeping it in the Arc-V era so no Link monsters.</p><p>let me know if you've got any ideas to improve it.</p>"
87975,ma-boi-87975,ma boi,46986421,26552,Fun/Casual Decks,"[""46986414"",""46986414"",""46986414"",""14214060"",""71703785"",""35191415"",""35191415"",""35191415"",""30603688"",""38033121"",""73752131"",""73752131"",""66337215"",""6061630"",""80304126"",""80304126"",""71413901"",""26082117"",""26082117"",""26082117"",""423585"",""7084129"",""62154416"",""71696014"",""71696014"",""97631303"",""2314238"",""10667321"",""10667321"",""72302403"",""82404868"",""111280"",""111280"",""5318639"",""28553439"",""28553439"",""47222536"",""68462976"",""86780027"",""86780027"",""36042825"",""36042825"",""48130397"",""50755"",""50755"",""7922915"",""18446701"",""18446701"",""44095762"",""98427577"",""89448140"",""89448140""]","[""31924889"",""96471335"",""85551711"",""85551711"",""10000030"",""96471335"",""96471335"",""10000030"",""50237654""]","[""49702428"",""60709218"",""75190122"",""48680970"",""73616671"",""72302403""]",1615487905,2 years ago,,,0,ma boi,Sum dark magic
87969,budget-orcust-deck-2020-87969,Budget Orcust Deck 2020,93854893,26550,Meta Decks,"[""4334811"",""4334811"",""4334811"",""82012319"",""14536035"",""28985331"",""93920420"",""93920420"",""28674152"",""97268402"",""71197066"",""94046012"",""21441617"",""21441617"",""21441617"",""4055337"",""4055337"",""4055337"",""76218313"",""72291078"",""9742784"",""83764719"",""37520316"",""32807846"",""70368879"",""81439174"",""90351981"",""24224830"",""24224830"",""24224830"",""99674361"",""26845680"",""1845204"",""703897"",""1475311"",""1475311"",""43898403"",""43898403"",""41420027"",""40605147""]","[""41999284"",""99111753"",""83152482"",""47363932"",""39752820"",""30741503"",""30741503"",""38342335"",""76145142"",""29479265"",""66403530"",""31833038"",""93854893"",""93854893"",""94977269""]","[""63519819"",""71384012"",""10000080"",""10000080"",""54693926"",""54693926"",""99330325"",""99330325"",""99330325"",""55063751"",""63941210"",""51452091"",""51452091"",""8267140"",""8267140""]",1615487905,2 years ago,,,0,Ez clap,https://www.youtube.com/watch?v=I4Hr1x5b3TA&amp;t=13s  <a>combo ryt here</a>
87957,karakuri-deck-and-replays-tcg-2020-april-banlist-87957,"Karakuri Deck and Replays, TCG 2020 April Banlist",75690317,21499,Non-Meta Decks,"[""49296203"",""49296203"",""6276588"",""3846170"",""70271583"",""66625883"",""66625883"",""66625883"",""75944053"",""75944053"",""75944053"",""24621460"",""24621460"",""24621460"",""14558127"",""30230789"",""30230789"",""94693857"",""75690317"",""75690317"",""75690317"",""1845204"",""32441317"",""32441317"",""63995093"",""63995093"",""63995093"",""70368879"",""83764719"",""24224830"",""24224830"",""43898403"",""11699941"",""11699941"",""3693034"",""3693034"",""10045474"",""10045474"",""2924048"",""2924048""]","[""16114248"",""84664085"",""25904894"",""25904894"",""25904894"",""66976526"",""66976526"",""66976526"",""23874409"",""23874409"",""88581108"",""31833038"",""44097050"",""2857636"",""50588353""]","[""63519819"",""71384012"",""10000080"",""10000080"",""54693926"",""54693926"",""99330325"",""99330325"",""99330325"",""55063751"",""63941210"",""51452091"",""51452091"",""8267140"",""8267140""]",1615487905,2 years ago,,,0,Karakuri Synchro Spam deck,Karakuri deck utilizing the Halqifibrax + Deskbot +Auroradon engine. A deck focused on synchro monster spamming and building a big first turn board with Karakuri Super Shogun providing protection against battle + banishing and Karakuri Steel Shogun helping to draw into effect negating Spells/Traps.  Replays: https://youtu.be/cSqfavTATuc
87953,neo-lulu-obsidian-87953,Neo Lulu Obsidian,76815942,23649,Anime Decks,"[""46576366"",""46576366"",""46576366"",""97949165"",""97949165"",""97949165"",""60954556"",""60954556"",""60954556"",""10182251"",""10182251"",""10182251"",""34550857"",""34550857"",""34550857"",""72859417"",""72859417"",""70828912"",""45354718"",""45354718"",""45354718"",""56619778"",""56619778"",""56619778"",""83764719"",""2295440"",""27068117"",""27068117"",""24094653"",""27980138"",""51405049"",""12247206"",""5318639"",""97077563"",""85742772"",""53567095"",""8243121"",""8243121"",""8243121"",""83546647""]","[""76815942"",""76815942"",""76815942"",""48608796"",""48608796"",""48608796"",""72971064"",""72971064"",""72971064"",""19369609"",""19369609"",""19369609"",""8491961"",""8491961"",""8491961""]","[""63519819"",""71384012"",""10000080"",""10000080"",""54693926"",""54693926"",""99330325"",""99330325"",""99330325"",""55063751"",""63941210"",""51452091"",""51452091"",""8267140"",""8267140""]",1615487905,2 years ago,1665599905,5 months ago,0,Lulu Obsidian's deck updated. Trying to bring the best out of her character deck whilst keeping it in the Arc-V era so no Link monsters.,"<p><img class=""aligncenter"" src=""https://vignette.wikia.nocookie.net/yugioh/images/d/d0/LuluObsidian-LOD.png/revision/latest?cb=20190911181145"" alt="""" width=""262"" loading=""lazy"" /></p><p>Rank One Feathers, Lulu Obsidian's deck updated. Trying to bring the best out of her character deck whilst keeping it in the Arc-V era so no Link monsters.</p><p>let me know if you've got any ideas to improve it.</p>"
87930,true-draco-eldlich-87930,true draco eldlich,95440947,25461,Meta Decks,"[""27204311"",""95440946"",""95440946"",""95440946"",""58984738"",""22499034"",""22499034"",""95004025"",""95004025"",""16404809"",""16404809"",""49238328"",""49238328"",""49238328"",""68829754"",""73628505"",""98645731"",""98645731"",""94224458"",""94224458"",""31434645"",""31434645"",""31434645"",""49430782"",""49430782"",""75425320"",""75425320"",""13035077"",""20612097"",""20612097"",""20590515"",""20590515"",""20590515"",""35125879"",""61529473"",""61529473"",""93191801"",""93191801"",""93191801"",""56984514""]","[""62541668"",""26096328"",""26096328"",""26556950"",""3814632"",""3814632"",""56910167"",""56910167"",""56910167"",""90162951"",""73964868"",""73964868"",""29669359"",""38342335"",""2857636""]","[""27204311"",""27204311"",""14558128"",""14558128"",""54693926"",""54693926"",""54693926"",""8267140"",""8267140"",""8267140"",""43898403"",""43898403"",""23516703"",""23516703"",""23516703""]",1615487905,2 years ago,,,0,"really good in late game with disciples for cycle cards, but weak in early game, against otk decks for exemple",The combined grind game of true draco and eldlich.
87927,lightsworn-negate-87927,lightsworn negate,77558536,25682,Meta Decks,"[""57774843"",""57774843"",""58996430"",""58996430"",""58996430"",""15381421"",""77558536"",""77558536"",""67696066"",""68819554"",""68819554"",""73176465"",""73176465"",""73176465"",""31292357"",""31292357"",""31292357"",""87347365"",""95503687"",""95503687"",""40164421"",""33420078"",""33420078"",""33420078"",""58695102"",""9742784"",""691925"",""691925"",""691925"",""43040603"",""43040603"",""58577036"",""67169062"",""67169062"",""72892473"",""81439173"",""83764718"",""85852291"",""94886282"",""94886282"",""94886282"",""96363153"",""52665542"",""98827725""]","[""62242678"",""3040496"",""50954680"",""4779823"",""33158448"",""33198837"",""50091196"",""30100551"",""68987122"",""50588353""]","[""33212663"",""27204311"",""27204311"",""29913783"",""21785144"",""68819554"",""46145256"",""34710660"",""14558127"",""14558127"",""73642296"",""73642296"",""32530043"",""71344451""]",1615487905,2 years ago,,,0,it's pretty funny to play but it can brick it's a two turn win but you'll gain the second turn like nothing,"The goal of this deck is having at the end of your first turn(if possible the first of the duel) at least 1 Chaos Ruler, Crystron Halqifibrax and a plaguespreader zombie, if you have this trio you can special summon Hot Red Dragon Archfiend King Calamity during your opponent's turn to ""negate"" the effects of cards,during your second turn the goal is having at least 1 judgment dragon with a borrelguard(cannot be destroyed by card effect) then have another monster on the field. you activate the effect of JD and chain it with borrelguard (Once per turn (Quick Effect): You can target 1 monster on the field; change it to face-up Defense Position. Your opponent cannot activate cards or effects in response to this effect's activation) to destroy every card on the field eccept for this 2,in the end you special summon chaos ruler from your GY by banishing king calamity and formula synchron(used to summon king calamity)"
87924,cyberse-87924,Cyberse,68934651,26541,Non-Meta Decks,"[""50690129"",""50690129"",""86784733"",""86784733"",""36033786"",""14505685"",""63528891"",""63528891"",""16188701"",""70950698"",""18789533"",""8567955"",""13090893"",""21830679"",""35595518"",""86605184"",""10705656"",""36694815"",""24731391"",""86401517"",""12580477"",""96363153"",""93104632"",""73275815"",""57160136"",""57160136"",""73628505"",""65801012"",""2295440"",""99674361"",""81439173"",""83764719"",""53129443"",""75500286"",""61583217"",""91740879"",""12021072"",""92562411"",""91665064"",""34767865""]","[""42717221"",""78084378"",""25200959"",""63533837"",""56337500"",""21065189"",""41999284"",""65741786"",""52698008"",""11674673"",""4478086"",""99111753"",""46947713"",""5821478"",""68934651""]","[""33212663"",""27204311"",""27204311"",""29913783"",""21785144"",""68819554"",""46145256"",""34710660"",""14558127"",""14558127"",""73642296"",""73642296"",""32530043"",""71344451""]",1615487905,2 years ago,,,0,A Hand-Made Cyberse Deck made by a Fan of Cyberse,"First or Second, doesn't matter... This deck will, Eventually, Overpower your opponent if used properly!"
87917,lyrilusc-numeron-87917,Lyrilusc Numeron,48608796,26530,Fun/Casual Decks,"[""79109599"",""79109599"",""14558127"",""14558127"",""45452224"",""45452224"",""45452224"",""85431040"",""85431040"",""85431040"",""97949165"",""97949165"",""97949165"",""70117860"",""70117860"",""70117860"",""60954556"",""60954556"",""60954556"",""34550857"",""34550857"",""34550857"",""97268402"",""97268402"",""42352091"",""42352091"",""42352091"",""27107590"",""27107590"",""37364101"",""37364101"",""37364101"",""41418852"",""41418852"",""41418852"",""26902560"",""1845204"",""83764719"",""77402960"",""77402960"",""2295440"",""24094653"",""24094653"",""10045474"",""74003290"",""74003290""]","[""76815942"",""76815942"",""63519819"",""79747096"",""15232745"",""42230449"",""78625448"",""4019153"",""48608796"",""48608796"",""48608796"",""8491961"",""8491961"",""52653092"",""94259633""]","[""41999284"",""94259633"",""24094653"",""51405049"",""51405049""]",1615487905,2 years ago,,,0,fun fun fun,fun fun fun
