deck_num,pretty_url,deck_name,cover_card,userid,format,main_deck,extra_deck,side_deck,ts_submit_date,submit_date,ts_edit_date,edit_date,comments,deck_excerpt,deck_description
173988,salamangreat-173988,Salamangreat,26889158,54873,Non-Meta Decks,"[""56003780"",""16188701"",""16188701"",""16188701"",""20618081"",""26889158"",""52277807"",""52277807"",""52277807"",""94620082"",""94620082"",""94620082"",""14558127"",""14558127"",""14558127"",""23434538"",""23434538"",""23434538"",""97268402"",""97268402"",""97268402"",""83554231"",""83764718"",""98645731"",""48130397"",""52155219"",""52155219"",""64178424"",""1295111"",""10045474"",""10045474"",""10045474"",""14934922"",""42671151"",""60080151"",""20788863"",""50078509"",""97077563"",""51339637"",""51339637""]","[""37261776"",""87327776"",""87327776"",""87327776"",""32003338"",""32003339"",""41463181"",""41463181"",""41463181"",""2857636"",""87871125"",""87871125"",""87871125"",""14812471"",""14812471"",""14812471""]","[""18144506"",""35261759"",""35261759"",""69162969"",""81439173"",""5318639"",""5318639"",""24224830"",""12923641"",""14883228"",""14883228"",""14883228"",""53334471"",""53334471"",""58921041""]",1647023905,1 year ago,,,0,Cannot be played in TCG banlist.,"I thought my ""Mermail"" deck could fight against the ""Salamangreat"" and WATER attribute is the most consistent attribute in my collection. I also have ""Blue-Eyes"" and ""Cyber Dragon"" but I cannot make decks for them with my collection. Lack of traps in ""Blue-Eyes"" and the problem ""Cyber Dragon"" is that if it is negated and the original attack is ""?"", it is dead and this deck is not that consistent and I do not know how to play both archetypes. (""Mermail"" &gt; ""Salamangreat"" &gt; ""Blue-Eyes"" &gt; ""Cyber Dragon"" experience)"
173980,lunalight-tri-brigade-2021-173980,Lunalight Tri-Brigade 2021,24550676,50577,Non-Meta Decks,"[""47705572"",""47705572"",""94919024"",""94919024"",""11439455"",""35618217"",""35618217"",""14152693"",""14152693"",""50546208"",""50546208"",""50546208"",""48427163"",""84812868"",""11317977"",""11317977"",""11317977"",""87209160"",""87209160"",""87209160"",""50810455"",""50810455"",""56196385"",""56196385"",""14816857"",""14816857"",""14816857"",""24094653"",""48444114"",""48444114"",""48444114"",""96378317"",""87931906"",""87931906"",""87931906"",""57103969"",""57103969"",""57103969"",""13935001"",""11193246"",""40975243"",""40975243"",""40975243""]","[""24550676"",""24550676"",""88753594"",""97165977"",""97165977"",""51777272"",""51777272"",""96381979"",""6983839"",""82633039"",""99726621"",""99726621"",""26847978"",""47163170"",""52331012""]","[""55285840""]",1647023905,1 year ago,,,0,KOG worthy?,The unstoppable Lunalight deck with the TOP TIER Tri-brigade
173956,odd-eyes-otk-one-turn-kill-173956,Odd-Eyes OTK (one turn kill),16178683,60900,Non-Meta Decks,"[""16306932"",""21770839"",""46136942"",""14105623"",""14105623"",""14105623"",""16178681"",""16178681"",""93149655"",""93149655"",""16178681"",""21250202"",""21250202"",""10731333"",""67754901"",""71692913"",""71692913"",""82224646"",""86157908"",""73941492"",""17086528"",""9000988"",""96227613"",""73511233"",""73511233"",""88935103"",""88935103"",""12289247"",""91584698"",""69610326"",""82768499"",""82768499"",""82768499"",""48144509"",""37469904"",""37469904"",""36111775"",""34884015"",""53208660"",""38203732"",""24094653"",""73628505"",""27813661"",""27813661"",""27813661""]","[""1861629"",""71384012"",""85289965"",""31833038"",""45014450"",""53262004"",""49820233"",""41209827"",""45627618"",""86238081"",""16691074"",""42160203"",""80696379"",""27548199"",""70771599""]","[""55285840""]",1647023905,1 year ago,,,0,Odd-Eyes,"With this deck, you should start at the 2nd turn, it can make a OTK if you know the combo . I tried this deck with many other strong deck, it can make OTK"
173952,odd-eyes-otk-one-turn-kill-173952,Odd-eyes OTK (one turn kill),16178683,60900,Non-Meta Decks,"[""16306932"",""21770839"",""46136942"",""14105623"",""14105623"",""14105623"",""16178681"",""16178681"",""93149655"",""93149655"",""16178681"",""21250202"",""21250202"",""10731333"",""67754901"",""71692913"",""71692913"",""82224646"",""86157908"",""73941492"",""17086528"",""9000988"",""96227613"",""73511233"",""73511233"",""88935103"",""88935103"",""12289247"",""91584698"",""69610326"",""82768499"",""82768499"",""82768499"",""48144509"",""37469904"",""37469904"",""36111775"",""34884015"",""53208660"",""38203732"",""24094653"",""73628505"",""27813661"",""27813661"",""27813661""]","[""1861629"",""71384012"",""85289965"",""31833038"",""45014450"",""53262004"",""49820233"",""41209827"",""45627618"",""86238081"",""16691074"",""42160203"",""80696379"",""27548199"",""70771599""]",,1647023905,1 year ago,,,0,odd eyes,"With this deck, you should start at the 2nd turn, it can make a OTK if you know the combo . I tried this deck with many other strong deck, it can make OTK"
173942,hero-deck-2021-173942,Hero Deck 2021,40044919,60775,Non-Meta Decks,"[""40044918"",""40044918"",""40044918"",""18094166"",""18094166"",""18094166"",""50720316"",""45195443"",""59392529"",""27780618"",""27780618"",""22865492"",""22865492"",""9411399"",""9411399"",""37780349"",""64184058"",""83965310"",""13650422"",""14124483"",""14558127"",""14558127"",""14558127"",""213326"",""213326"",""213326"",""32807846"",""24094653"",""45906428"",""12071500"",""8949584"",""52947044"",""52947044"",""52947044"",""21143940"",""21143940"",""21143940"",""24299458"",""24299458"",""24299458""]","[""58481572"",""58481572"",""59642500"",""89870349"",""29095552"",""40854197"",""22908820"",""46759931"",""86165817"",""90579153"",""30757127"",""1948619"",""58004362"",""58004362"",""63813056""]","[""27204311"",""27204311"",""27204311"",""10045474"",""10045474"",""10045474"",""24508238"",""24508238"",""24508238"",""8267140"",""8267140"",""54693926"",""54693926"",""54693926"",""33574806""]",1647023905,1 year ago,,,0,Replays And Combos:,Replays And Combos:  https://www.youtube.com/watch?v=XEWIpharTi8
173938,unchained-evil-eye-173938,Unchained Evil Eye,89019964,60598,Non-Meta Decks,"[""89019964"",""1966438"",""1966438"",""26236560"",""26236560"",""26236560"",""53624265"",""53624265"",""31588572"",""82466274"",""82466274"",""82466274"",""81344637"",""14558127"",""14558127"",""97268402"",""97268402"",""27412542"",""27412542"",""27412542"",""54807656"",""70122149"",""70122149"",""70122149"",""44133040"",""44133040"",""28957126"",""28957126"",""35261759"",""35261759"",""35261759"",""35726888"",""24224830"",""73628505"",""80801743"",""80801743"",""80801743"",""53417695"",""53417695"",""79383919""]","[""67680512"",""67680512"",""67680512"",""29357687"",""29357687"",""2857636"",""17739335"",""17739335"",""38342335"",""93084621"",""93084621"",""29479265"",""21887175"",""65330383"",""93854893""]","[""94145021"",""94145021"",""27204311"",""27204311"",""27204311"",""54693926"",""54693926"",""54693926"",""82385847"",""23002292"",""20899496"",""20899496"",""15693423"",""15693423"",""15693423""]",1647023905,1 year ago,,,0,HAKAI everything on the board!!!,"Use your Unchained effect to destroy your opponent cards on the board or stella their monster with the link2 effect to special summon more easily your link4 or knightmare Unicorn for more interruptions.  Evil eye Engine works both as a support to your Unchained monster and they also synergies well togheter, you can use the negative effect of the Evil eye to destroy your own cards to destroy Unchained cards which Will float into other monsters."
173928,cyber-dragon-173928,Cyber Dragon,70095155,54873,Non-Meta Decks,"[""33093439"",""70095154"",""70095154"",""70095154"",""46659709"",""46659709"",""46659709"",""15397015"",""15397015"",""15397015"",""59281922"",""59281922"",""29975188"",""29975188"",""14558127"",""23893227"",""23893227"",""23893227"",""56364287"",""56364287"",""56364287"",""3659803"",""3659803"",""37630732"",""37630732"",""60600126"",""60600126"",""60600126"",""63995093"",""63995093"",""83764718"",""23171610"",""55704856"",""55704856"",""10045474"",""82428674"",""82428674"",""82428674"",""40605147"",""40605147""]","[""1546124"",""82315403"",""87116928"",""87116928"",""64599569"",""64599569"",""74157028"",""79229522"",""10443958"",""10443958"",""73964868"",""58069384"",""58069384"",""46724542"",""41999284""]","[""18144506"",""33041277"",""35261759"",""35261759"",""81439173"",""5318639"",""5318639"",""43898403"",""12923641"",""14883228"",""14883228"",""14883228"",""53334471"",""53334471"",""58921041""]",1647023905,1 year ago,,,0,Use Cyber twin dragon for monster destroyer and power bond.,Summon Eltanin
173923,exquisite-173923,exquisite,86148577,39880,Non-Meta Decks,"[""88264978"",""35183584"",""50383626"",""89631139"",""89631139"",""89631139"",""38517737"",""38517737"",""45467446"",""55878039"",""88774734"",""51786039"",""90807199"",""15381421"",""62706865"",""62706865"",""62706865"",""11066358"",""84899094"",""84899094"",""71039903"",""71039903"",""71039903"",""79814787"",""79814787"",""8240199"",""8240199"",""8240199"",""9742784"",""2295440"",""87571563"",""87571563"",""87571563"",""48800175"",""48800175"",""48800175"",""38120068"",""41620959"",""41620959"",""54447022"",""54447022"",""54447022""]","[""94677445"",""9348522"",""59822133"",""40908371"",""88581108"",""28400508"",""63767246"",""58820923"",""18963306"",""41999284"",""61665245"",""50588353"",""13143275"",""86148577"",""74997493""]","[""89399912"",""2978414"",""57160136"",""57314798"",""83994433"",""31801517"",""59537380"",""11012154"",""2129638"",""63300440"",""13756293"",""49725936"",""95793022"",""11969228"",""62265044""]",1647023905,1 year ago,,,0,INDEED,mmmm yes
173919,skiminy-slubae-173919,Skiminy slubae,50383626,39880,Non-Meta Decks,"[""50383626"",""50383626"",""36521459"",""31829185"",""65192027"",""44330098"",""44330098"",""12958919"",""28985331"",""86377375"",""86377375"",""86377375"",""59546797"",""59546797"",""59546797"",""9047460"",""10802915"",""10802915"",""23898021"",""23898021"",""23898021"",""84764038"",""59160188"",""59160188"",""59160188"",""43040603"",""73628505"",""1475311"",""1475311"",""1475311"",""11082056"",""11082056"",""11082056"",""57728570"",""57728571"",""57728570"",""57728571"",""57728570"",""57728571"",""44095762"",""44095762"",""44095762"",""89208725""]","[""84687358"",""84687358"",""84687358"",""22804644"",""22804644"",""22804644"",""44508094"",""44508094"",""32646477"",""71384012"",""1861629"",""99011763"",""99011763"",""62709239"",""71166481""]","[""46232525"",""46232525"",""46232525"",""46173679"",""46173679"",""46173679"",""83764719"",""48800175"",""14152862"",""84764038"",""55878039"",""14536035"",""61391302"",""73445448""]",1647023905,1 year ago,,,0,asdasdadad,strabadaba
173910,harpie-lady-deck-profile-173910,Harpie Lady Deck Profile,63261835,52287,Non-Meta Decks,"[""90238142"",""90238142"",""90238142"",""39392286"",""39392286"",""39392286"",""75064463"",""75064463"",""56585883"",""56585883"",""66386380"",""66386380"",""68815132"",""76812113"",""76812113"",""76812113"",""52040216"",""73356503"",""14558127"",""14558127"",""14558127"",""24224830"",""94770493"",""18144507"",""92881099"",""92881099"",""92881099"",""87639778"",""75782277"",""75782277"",""90219263"",""90219263"",""90219263"",""911883"",""911883"",""911883"",""19337371"",""19337371"",""19337371"",""87639778"",""87639778"",""77778835"",""77778835"",""77778835""]","[""63261835"",""63261835"",""90448279"",""22653490"",""85909450"",""85909450"",""85696777"",""85696777"",""80117527"",""6983839""]","[""46232525"",""46232525"",""46232525"",""46173679"",""46173679"",""46173679"",""83764719"",""48800175"",""14152862"",""84764038"",""55878039"",""14536035"",""61391302"",""73445448""]",1647023905,1 year ago,,,0,another classic but awsome deck to use from the yugioh series,have fun
173906,it-s-raining-snakes-v1-173906,It's Raining Snakes v1,9400127,60998,Fun/Casual Decks,"[""46986417"",""74677423"",""97565997"",""8062132"",""61160289"",""34172284"",""98787535"",""98787535"",""98787535"",""62383431"",""62383431"",""72677437"",""62405028"",""62405028"",""36010310"",""36010310"",""36010310"",""99745551"",""55501446"",""6172122"",""17189677"",""17189677"",""17189677"",""24050692"",""24050692"",""24050692"",""38120068"",""38120068"",""38120068"",""73628505"",""83764718"",""73468603"",""60448701"",""59160188"",""59160188"",""59160188"",""16067089"",""23837054"",""23837054"",""93217231""]","[""37818794"",""2530830"",""39030163"",""18963306"",""63767246"",""64332231"",""93854893"",""11398059"",""74974229"",""8602351""]","[""46232525"",""46232525"",""46232525"",""46173679"",""46173679"",""46173679"",""83764719"",""48800175"",""14152862"",""84764038"",""55878039"",""14536035"",""61391302"",""73445448""]",1647023905,1 year ago,,,0,An Ogdoadic mixed with other reptiles and a dragoon for good measure,Rain the snakes
173902,lob-1-173902,Lob 1,89631146,60756,Non-Meta Decks,"[""39111158"",""39111158"",""85326399"",""85326399"",""85326399"",""10202894"",""10202894"",""10202894"",""15025844"",""80770678"",""80770678"",""33066139"",""13039848"",""13039848"",""33066139"",""11868825"",""55144522"",""53129443"",""66788016"",""38199696"",""46130346"",""46130346"",""63102017"",""4206964"",""50045299"",""1435851"",""1435851"",""1435851"",""50913601"",""38199696"",""51482758"",""51482758"",""1784619"",""1784619"",""1784619"",""85639257"",""85639257"",""29172562"",""29172562"",""33178416""]","[""37818794"",""2530830"",""39030163"",""18963306"",""63767246"",""64332231"",""93854893"",""11398059"",""74974229"",""8602351""]","[""46232525"",""46232525"",""46232525"",""46173679"",""46173679"",""46173679"",""83764719"",""48800175"",""14152862"",""84764038"",""55878039"",""14536035"",""61391302"",""73445448""]",1647023905,1 year ago,,,0,Don’t lose,Progression deck starting lob
