deck_num,pretty_url,deck_name,cover_card,userid,format,main_deck,extra_deck,side_deck,ts_submit_date,submit_date,ts_edit_date,edit_date,comments,deck_excerpt,deck_description
11819,dark-magician-dragon-via-just4fun-v0-1-11819,Dark Magician Dragon (via Just4Fun) V0.1,46986418,5027,Non-Meta Decks,"[""46986418"",""46986418"",""46986419"",""35191415"",""35191415"",""30603688"",""30603688"",""30603688"",""7084129"",""7084129"",""7084129"",""14558127"",""14558127"",""14824019"",""23434538"",""1784686"",""1784686"",""2314238"",""23314220"",""23314220"",""89739383"",""89739383"",""98645731"",""98645731"",""41735184"",""41735184"",""73616671"",""47222536"",""47222536"",""47222536"",""7922915"",""7922915"",""7922915"",""9287078"",""83326048"",""48680970"",""48680970"",""48680970"",""40605147"",""40605147""]","[""41721210"",""41721210"",""41721210"",""44405066"",""22110647"",""80117527"",""96471335"",""85551711"",""10389142"",""14152862"",""93713837"",""5043011"",""1861629"",""22862454""]","[""55063751"",""55063751"",""14558127"",""59438930"",""59438930"",""12580477"",""53129443"",""8267140"",""8267140"",""83326048"",""83326048"",""58921041"",""58921041"",""82732705""]",1520879905,5 years ago,,,0,"Good Drawing Power through the combination of searching effects (Magician's Rod, Apprentice Illusion Magician, Dark Magical Circle, Magicians Navigati","Good Drawing Power through the combination of searching effects (Magician's Rod, Apprentice Illusion Magician, Dark Magical Circle, Magicians Navigation) and Spellbook Engine."
11639,legendary-dragon-decks-odd-eyes-11639,Legendary Dragon Decks: Odd-Eyes,14105623,5027,Structure Decks,"[""14105623"",""16178682"",""16178681"",""96733134"",""93149655"",""93149655"",""21250202"",""21250202"",""67754901"",""67754901"",""59762399"",""86157908"",""86157908"",""40318957"",""40318957"",""16617334"",""73511233"",""73511233"",""88935103"",""88935103"",""23851033"",""27813661"",""27813661"",""48144509"",""16494704"",""82768499"",""82768499"",""37469904"",""37469904"",""60434189"",""60434189"",""83461421"",""83461421"",""96598015"",""73628505"",""73628505"",""15582767"",""77826734"",""77826734"",""42378577"",""42378577""]","[""41209827"",""43387895"",""53262004"",""49820233"",""82044280"",""70771599"",""80696379"",""16195942"",""16195943"",""42160203"",""16691074""]","[""55063751"",""55063751"",""14558127"",""59438930"",""59438930"",""12580477"",""53129443"",""8267140"",""8267140"",""83326048"",""83326048"",""58921041"",""58921041"",""82732705""]",1520879905,5 years ago,,,0,Deck file for Legendary Dragon Decks: Odd-Eyes.,Deck file for Legendary Dragon Decks: Odd-Eyes.
11638,legendary-dragon-decks-cyber-dragon-11638,Legendary Dragon Decks: Cyber Dragon,70095154,5027,Structure Decks,"[""70095154"",""70095154"",""70095154"",""5373478"",""5373478"",""59281922"",""59281922"",""23893227"",""23893227"",""23893227"",""26439287"",""3657444"",""3657444"",""3370104"",""3370104"",""39439590"",""33093439"",""33093439"",""67159705"",""5556499"",""86686671"",""86686671"",""86686671"",""58199906"",""52875873"",""52875873"",""52875873"",""37630732"",""37630732"",""3659803"",""3659803"",""77565204"",""23171610"",""31828916"",""12670770"",""12670770"",""90440725"",""5650082"",""40838625"",""47475363""]","[""1546123"",""74157028"",""74157028"",""64599569"",""79229522"",""84058253"",""84058253"",""58069384"",""58069384"",""10443957""]","[""55063751"",""55063751"",""14558127"",""59438930"",""59438930"",""12580477"",""53129443"",""8267140"",""8267140"",""83326048"",""83326048"",""58921041"",""58921041"",""82732705""]",1520879905,5 years ago,,,0,Deck file for Legendary Dragon Decks: Cyber Dragon.,Deck file for Legendary Dragon Decks: Cyber Dragon.
11636,legendary-dragon-decks-dark-magician-11636,Legendary Dragon Decks: Dark Magician,46986414,5027,Structure Decks,"[""46986414"",""46986414"",""46986414"",""38033122"",""30603688"",""71696014"",""71696014"",""7084129"",""7084129"",""73752131"",""73752131"",""73752131"",""80019195"",""84565800"",""85800949"",""71413901"",""6061630"",""65240384"",""70832512"",""70832512"",""99789342"",""111280"",""41735184"",""47222536"",""73616671"",""63391643"",""2314238"",""1784686"",""11082056"",""46232525"",""89397517"",""72302403"",""98645731"",""32807846"",""48680970"",""7922915"",""9287078"",""57728570"",""57728571"",""44095762"",""57470761""]","[""41721210"",""43892408"",""84687358"",""58293343"",""98502113"",""75380687"",""22804644"",""10960419"",""46354113"",""83743222"",""19747827""]","[""55063751"",""55063751"",""14558127"",""59438930"",""59438930"",""12580477"",""53129443"",""8267140"",""8267140"",""83326048"",""83326048"",""58921041"",""58921041"",""82732705""]",1520879905,5 years ago,,,0,Deck file for Legendary Dragon Decks: Dark Magician.,Deck file for Legendary Dragon Decks: Dark Magician.
11596,hero-via-daniel-liu-v0-1-11596,Hero (via Daniel Liu) V0.1,50720316,5027,Non-Meta Decks,"[""50720316"",""50720316"",""50720316"",""14124483"",""423585"",""423585"",""18063928"",""18063928"",""18063928"",""27780618"",""213326"",""213326"",""213326"",""8949584"",""8949584"",""12580477"",""32807846"",""45906428"",""45906428"",""54283059"",""24094653"",""24094653"",""24094653"",""18511384"",""18511384"",""21143940"",""21143940"",""21143940"",""84536654"",""84536654"",""79979666"",""79979666"",""79979666"",""93600443"",""93600443"",""93600443"",""35261759"",""35261759"",""22829942"",""22829942"",""33550694"",""33550694"",""76647978"",""911883"",""911883"",""1033312"",""1033312"",""1033312"",""79109599"",""79109599"",""79109599"",""73628505"",""73628505"",""63060238"",""63060238"",""63060238"",""84327329"",""84327329"",""21844576"",""21844576""]","[""23204029"",""62624486"",""59642500"",""22093873"",""29095552"",""40854197"",""40854197"",""16304628"",""33574806"",""1945387"",""3642509"",""95486586"",""62541668"",""26556950"",""75433814""]","[""53129443"",""25789292"",""25789292"",""43898403"",""69279219"",""69279219"",""78610936"",""58921041"",""58921041"",""56832966"",""84013237"",""58481572""]",1520879905,5 years ago,,,0,"Old fashioned hero deck, so bring out the high level fusion cards using polymerization. Where possible, mask change is also available at choice. #77 i","Old fashioned hero deck, so bring out the high level fusion cards using polymerization. Where possible, mask change is also available at choice. #77 is also at your service if you managed to bring out two level 8 monsters."
11167,brilliant-fusion-trickstars-via-gimmicky-games-v0-1-11167,Brilliant Fusion Trickstars (via Gimmicky Games) V0.1,46659709,5027,Meta Decks,"[""46659709"",""46659709"",""46659709"",""91731841"",""61283655"",""61283655"",""61283655"",""37742478"",""37742478"",""35199656"",""35199656"",""35199656"",""59438930"",""59438930"",""83991690"",""94145021"",""94145021"",""35371948"",""35371948"",""35371948"",""85562745"",""85562745"",""85562745"",""56673480"",""7394770"",""7394770"",""7394770"",""67723438"",""9952083"",""9952083"",""9952083"",""73628505"",""73628505"",""73628505"",""77561728"",""77561728"",""77561728"",""21076084"",""21076084"",""21076084""]","[""1546123"",""3113836"",""9348522"",""74586817"",""74586817"",""82044279"",""33698022"",""10443957"",""56832966"",""73964868"",""69840739"",""58069384"",""86532744"",""84013237"",""90590303""]","[""35595518"",""35595518"",""67750322"",""67750322"",""31305911"",""32354768"",""73468603"",""73468603"",""73468603"",""43898403"",""43898403"",""40605147"",""40605147""]",1520879905,5 years ago,,,0,The strategy of this deck is to add as many cards to your opponents hand as possible to OTK them with the effect of T,"The strategy of this deck is to add as many cards to your opponents hand as possible to OTK them with the effect of <a data-name=""Trickstar Lycoris"">Trickstar Lycoris</a>. "
